               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056366,            0.036678,            0.076266,            0.061908,             0.39056,            0.086264,            0.042209,            0.027964,            0.013156,            0.052789,              0.0024,              0.0024,              0.0784
                   1,            0.038011,            0.026812,            0.071825,             0.18069,             0.37824,             0.15818,             0.10634,            0.019974,            0.010868,            0.048711,             0.00481,             0.00481,             0.05671
                   2,            0.037312,            0.025519,            0.065339,             0.24267,             0.39302,             0.21403,             0.12767,            0.021174,            0.012079,            0.047432,           0.0072199,           0.0072199,             0.03502
                   3,            0.036346,            0.026625,            0.061893,             0.36169,             0.36912,             0.23456,              0.1463,            0.021329,            0.012906,            0.044662,           0.0096298,           0.0096298,             0.01333
                   4,            0.036618,            0.028402,            0.061842,             0.31431,             0.34038,             0.23373,             0.14957,             0.02108,              0.0136,              0.0443,           0.0099996,           0.0099996,           0.0099996
                   5,            0.034731,            0.028217,            0.058032,             0.38509,             0.46917,             0.37358,             0.25756,            0.018702,            0.012394,             0.03766,           0.0099996,           0.0099996,           0.0099996
                   6,            0.032093,            0.027601,            0.056284,             0.44155,             0.39879,              0.3381,             0.22873,            0.020101,            0.012633,            0.039602,           0.0099994,           0.0099994,           0.0099994
                   7,            0.031467,            0.027411,            0.054496,             0.44411,             0.42168,             0.40766,             0.28278,            0.018073,            0.012132,            0.035131,           0.0099992,           0.0099992,           0.0099992
                   8,            0.030152,            0.026223,            0.050182,             0.52873,             0.51395,             0.49349,             0.35183,             0.01693,            0.011222,            0.030306,           0.0099989,           0.0099989,           0.0099989
                   9,            0.029134,            0.026363,            0.050284,             0.54177,             0.53006,             0.51183,             0.35863,            0.017299,            0.011702,             0.02981,           0.0099986,           0.0099986,           0.0099986
                  10,            0.028623,            0.025642,            0.046596,             0.43462,             0.51731,             0.45843,             0.33309,            0.017354,            0.011465,            0.034327,           0.0099982,           0.0099982,           0.0099982
                  11,            0.029298,            0.025339,            0.047101,             0.55576,             0.56552,             0.54818,             0.40158,            0.017391,            0.011213,            0.029245,           0.0099978,           0.0099978,           0.0099978
                  12,            0.029033,            0.026038,            0.044571,             0.61486,             0.54903,             0.56269,             0.41413,            0.017125,            0.010788,            0.028061,           0.0099973,           0.0099973,           0.0099973
                  13,            0.028218,            0.024739,            0.043842,             0.51119,             0.54855,             0.52832,             0.38681,            0.017336,            0.011259,            0.030223,           0.0099968,           0.0099968,           0.0099968
                  14,            0.028011,            0.025407,            0.044154,             0.49063,             0.57266,             0.56831,             0.42039,            0.016631,             0.01115,            0.027823,           0.0099962,           0.0099962,           0.0099962
                  15,            0.027672,             0.02495,            0.043413,             0.56306,             0.61093,             0.60809,             0.44755,             0.01635,            0.010965,            0.024988,           0.0099956,           0.0099956,           0.0099956
                  16,            0.027096,            0.025373,            0.042237,             0.67792,             0.54401,              0.6192,             0.45378,            0.016751,             0.01139,            0.024599,            0.009995,            0.009995,            0.009995
                  17,              0.0266,            0.025067,            0.043214,             0.56489,              0.5796,             0.58549,             0.42386,            0.016493,            0.011196,            0.026531,           0.0099943,           0.0099943,           0.0099943
                  18,            0.027587,            0.024687,              0.0423,             0.65344,             0.56686,             0.64019,             0.47894,            0.016825,            0.010826,            0.025389,           0.0099936,           0.0099936,           0.0099936
                  19,            0.026942,            0.025497,            0.040599,              0.6274,             0.60908,             0.65439,              0.4864,            0.015693,            0.010664,            0.024011,           0.0099928,           0.0099928,           0.0099928
                  20,            0.027209,            0.024019,             0.03778,             0.68145,             0.59092,             0.67503,             0.50713,            0.015634,            0.010395,            0.022265,            0.009992,            0.009992,            0.009992
                  21,             0.02621,            0.023891,            0.037701,             0.62373,             0.62978,             0.68251,             0.51463,            0.015703,            0.010456,            0.022274,           0.0099911,           0.0099911,           0.0099911
                  22,            0.027055,            0.023971,            0.036892,             0.63743,             0.68034,             0.71242,             0.54024,            0.015214,            0.010143,            0.020153,           0.0099902,           0.0099902,           0.0099902
                  23,            0.026214,            0.023764,            0.036878,             0.67768,             0.61437,             0.69127,             0.52593,            0.015314,            0.010255,             0.02145,           0.0099893,           0.0099893,           0.0099893
                  24,            0.025301,            0.023685,            0.036701,             0.65698,             0.65396,             0.71038,             0.53267,              0.0159,            0.010207,            0.020266,           0.0099883,           0.0099883,           0.0099883
                  25,            0.026101,            0.024223,            0.037295,             0.67352,             0.67078,             0.69894,             0.52009,            0.015831,             0.01024,            0.020463,           0.0099872,           0.0099872,           0.0099872
                  26,            0.026225,            0.023804,            0.035686,              0.6709,             0.63973,             0.70414,             0.53244,            0.016055,            0.010647,            0.020026,           0.0099861,           0.0099861,           0.0099861
                  27,            0.025829,            0.023941,            0.035903,             0.67211,             0.63659,             0.69922,             0.52862,             0.01578,             0.01026,            0.022387,            0.009985,            0.009985,            0.009985
                  28,            0.025773,            0.023561,            0.033314,             0.70801,             0.67454,             0.74265,             0.57364,            0.014991,            0.009938,            0.019821,           0.0099838,           0.0099838,           0.0099838
                  29,            0.026043,            0.023136,            0.034735,             0.70641,             0.60381,             0.70323,             0.53547,            0.015426,             0.01055,            0.020977,           0.0099826,           0.0099826,           0.0099826
                  30,            0.025999,            0.023428,            0.036083,             0.62933,             0.64976,             0.69081,             0.52589,            0.015695,            0.010516,            0.022422,           0.0099813,           0.0099813,           0.0099813
                  31,            0.026027,            0.023364,            0.034819,             0.67043,             0.65678,             0.70271,             0.53467,            0.015502,             0.01054,            0.019286,             0.00998,             0.00998,             0.00998
                  32,            0.025739,            0.023506,            0.032037,             0.68504,             0.67027,             0.72913,             0.56812,            0.014781,           0.0099099,            0.018625,           0.0099787,           0.0099787,           0.0099787
                  33,            0.025514,            0.022731,            0.030689,             0.70726,             0.67024,             0.75023,             0.58453,            0.014714,           0.0098755,            0.018897,           0.0099773,           0.0099773,           0.0099773
                  34,            0.025844,            0.023074,            0.031719,             0.71046,             0.68569,             0.75803,             0.58504,            0.014479,            0.009864,            0.016588,           0.0099758,           0.0099758,           0.0099758
                  35,            0.025435,            0.023332,            0.034709,             0.68627,             0.72403,             0.76645,             0.59655,            0.014808,           0.0098496,            0.017074,           0.0099744,           0.0099744,           0.0099744
                  36,            0.024635,            0.022307,            0.031501,             0.71784,              0.7031,             0.77364,             0.60274,            0.014526,            0.010138,            0.016519,           0.0099728,           0.0099728,           0.0099728
                  37,            0.025061,            0.022993,            0.031392,             0.68876,             0.66917,             0.73469,             0.56803,            0.014742,            0.010123,            0.017432,           0.0099713,           0.0099713,           0.0099713
                  38,            0.025298,            0.022398,            0.032612,             0.69614,             0.69375,             0.75357,              0.5957,            0.014378,           0.0097984,            0.017081,           0.0099696,           0.0099696,           0.0099696
                  39,            0.024899,            0.022574,            0.030204,             0.73294,             0.71626,             0.78601,             0.62304,            0.014273,           0.0097058,            0.016393,            0.009968,            0.009968,            0.009968
                  40,             0.02443,            0.021971,             0.02833,             0.74239,             0.68714,             0.77484,             0.61571,            0.014214,           0.0096464,            0.018254,           0.0099663,           0.0099663,           0.0099663
                  41,            0.025265,            0.022541,            0.029629,             0.74565,             0.69832,              0.7606,               0.603,            0.014276,           0.0096774,              0.0177,           0.0099645,           0.0099645,           0.0099645
                  42,            0.024426,            0.022675,            0.030905,             0.74129,             0.71977,             0.78901,              0.6246,            0.014358,            0.009855,            0.014608,           0.0099627,           0.0099627,           0.0099627
                  43,            0.024529,            0.022277,            0.028235,             0.72852,             0.69847,               0.776,             0.61417,            0.014255,           0.0098473,            0.015163,           0.0099609,           0.0099609,           0.0099609
